BacillusphageGemini	BacillusphageAndromeda	99.901	6039	0	1	1	6039	42291	48323	0.0	11114
BacillusphageGlittering	BacillusphageAndromeda	95.829	16086	618	37	1	16051	17730	33797	0.0	25939
BacillusphageGrass	BacillusphagephiNIT1	94.096	6623	381	9	1457	8071	64721	71341	0.0	10056
BacillusphageHakuna	BacillusphageMegatron	97.391	5711	141	6	7643	13351	39842	45546	0.0	9714
BacillusphageJL	BacillusphageCP-51	90.229	6652	601	42	1	6627	84283	90910	0.0	8637
BacillusphageNf	BacillusphageB103	91.650	4886	380	16	1	4870	10727	15600	0.0	6737
BacillusphagePZA	Bacillusphagephi29	88.926	5048	557	2	4	5050	8483	13529	0.0	6224
BacillusphagePage	BacillusphagePalmer	96.896	3286	92	10	5330	8608	9622	12904	0.0	5494
BacillusphagePony	BacillusphagePalmer	98.042	8068	148	7	3607	11669	25979	34041	0.0	14015
BacillusphagePookie	BacillusphagePalmer	95.294	6205	262	22	1867	8060	14587	20772	0.0	9814
BacillusphageShanette	BacillusphageCP-51	86.524	4571	569	43	7424	11972	41968	46513	0.0	4985
BacillusphageSpock	BacillusphageB4	95.061	7370	354	10	2	7368	57816	50454	0.0	11585
BacillusphageStahl	BacillusphageSlash	92.099	7126	498	42	2276	9360	52632	59733	0.0	9980
BacillusphageStills	BacillusphageStaley	91.039	6249	496	42	22952	29174	60289	66499	0.0	8379
BacillusphageTroll	BacillusphageRiley	99.487	18127	93	0	48575	66701	67609	85735	0.0	32960
BacillusphageW.Ph	BacillusphageMegatron	82.831	11754	1898	100	24916	36614	72563	84251	0.0	10416
Bacillusphagepoppyseed	BacillusphagePalmer	97.688	865	15	4	1	864	28519	29379	0.0	1482
BacillusphagevBBceM-Bc431v3	BacillusphageBcp1	87.143	15042	1799	105	10865	25847	81175	66210	0.0	16938
BacteriophageDiva	BacteriophageShelly	99.583	7673	30	2	6019	13689	26749	34421	0.0	13991
BacteriophageLily	BacteriophageShelly	87.085	1866	214	15	1	1861	31518	33361	0.0	2085
BacteriophageSitara	BacteriophageRedbud	99.983	5913	1	0	1	5913	23472	29384	0.0	10914
BacteroidesphageB40-8	BacteroidesphageB124-14	92.517	147	11	0	1	147	24944	24798	1.62e-54	211
BrevibacillusphageAbouo	BrevibacillusphageJimmer1	97.572	1730	33	7	11259	12982	52101	53827	0.0	2953
BrevibacillusphageDavies	BrevibacillusphageJimmer1	99.080	2283	21	0	1	2283	46729	49011	0.0	4100
BrevibacillusphageJimmer2	BrevibacillusphageJimmer1	98.270	2659	46	0	1	2659	19308	21966	0.0	4656
BrochothrixphageA9	BacillusphageBCP8-2	88.350	103	10	2	29255	29356	41221	41322	4.17e-25	122
BrochothrixphageBL3	BrochothrixphageNF5	80.844	616	99	19	104	710	34968	35573	3.68e-130	466
BrucellaphageFz	BrucellaphageF1	99.974	19482	5	0	1	19482	15773	35254	0.0	35949
BrucellaphagePr	BrucellaphageBk	100.000	1722	0	0	1	1722	12284	14005	0.0	3181
BrucellaphageR/C	BrucellaphageBk	100.000	2190	0	0	1	2190	31806	33995	0.0	4045
BrucellaphageS708	BrucellaphageBk	99.983	17327	3	0	1	17327	11364	28690	0.0	31981
BrucellaphageTb	BrucellaphageF1	99.970	13348	4	0	9824	23171	20439	33786	0.0	24628
BrucellaphageWb	BrucellaphageBk	100.000	5295	0	0	1	5295	29564	34858	0.0	9779
BurkholderiaphageBcepC6B	BurkholderiaphageBcep176	89.908	327	33	0	2494	2820	23458	23132	1.69e-116	422
BurkholderiaphageBcepIL02	ErwiniaphagePEp14	94.737	38	2	0	3475	3512	36230	36267	3.23e-07	60.2
BurkholderiaphageBcepNY3	BurkholderiaphageBcep43	90.063	9772	799	123	7364	17029	10984	20689	0.0	12508
BurkholderiaphageJG068	BurkholderiaphageBp-AMP1	73.814	569	114	29	5609	6158	30360	30912	6.20e-47	193
BurkholderiaphageKL3	BurkholderiaphagephiX216	86.238	6111	793	46	23838	29928	7090	1008	0.0	6582
BurkholderiaphageKS5	BurkholderiaphagephiE202	79.950	1990	362	34	6797	8768	27100	29070	0.0	1430
BurkholderiaphageST79	StenotrophomonasphageSmp131	94.872	39	2	0	11081	11119	6134	6172	2.22e-07	62.1
Burkholderiaphagephi6442	BurkholderiaphageKS9	78.700	3845	723	84	2	3808	27759	31545	0.0	2475
BurkholderiaphagephiE12-2	BurkholderiaphagephiE202	99.299	571	4	0	1	571	25456	26026	0.0	1033
BurkholderiaphagephiE125	BurkholderiaphageBcep176	80.941	425	77	2	9764	10187	14439	14018	3.15e-89	333
BurkholderiaphagephiE255	BurkholderiaphageBcepMu	85.094	2026	263	29	1	2007	9660	11665	0.0	2032
CampylobacterphageCJIE4-1	CampylobacterphageCJIE4-5	99.175	3394	23	3	347	3735	16360	19753	0.0	6107
CampylobacterphageCJIE4-2	CampylobacterphageCJIE4-5	99.368	8380	50	1	231	8610	12990	21366	0.0	15178
CampylobacterphageCJIE4-3	CampylobacterphageCJIE4-5	100.000	433	0	0	114	546	31066	31498	0.0	800
CampylobacterphageCJIE4-4	CampylobacterphageCJIE4-5	98.075	3324	54	6	3423	6741	27748	31066	0.0	5775
CampylobacterphageCP220	CampylobacterphageCPt10	97.420	15465	275	43	1373	16739	43324	58762	0.0	26234
CampylobacterphageCP30A	CampylobacterphageCP8	96.995	18570	546	10	9049	27612	16946	35509	0.0	31191
CampylobacterphageCP81	CampylobacterphageCP8	98.668	21166	274	5	15328	36492	89778	68620	0.0	37517
CampylobacterphageNCTC12673	CampylobacterphageCP8	93.133	3058	135	33	5051	8059	78796	81827	0.0	4414
CaulobacterphageCcrColossus	Caulobacterphagerogue	77.236	369	59	15	2328	2688	183940	184291	1.23e-46	193
Cellulophagaphagephi13:1	CellulophagaphagephiST	100.000	1877	0	0	1	1877	11007	12883	0.0	3467
Cellulophagaphagephi14:2	Cellulophagaphagephi17:2	95.196	1478	71	0	16702	18179	60665	62142	0.0	2337
Cellulophagaphagephi17:1	Cellulophagaphagephi18:1	95.520	1317	59	0	1876	3192	37619	38935	0.0	2106
Cellulophagaphagephi18:2	Cellulophagaphagephi18:1	100.000	11976	0	0	1	11976	20086	32061	0.0	22116
Cellulophagaphagephi18:3	Cellulophagaphagephi19:3	97.891	6591	139	0	270	6860	58529	65119	0.0	11402
Cellulophagaphagephi18:4	Cellulophagaphagephi12a:1	97.361	2122	56	0	1	2122	4202	6323	0.0	3609
Cellulophagaphagephi19:2	CellulophagaphagephiST	99.989	17685	0	2	1	17684	4588	22271	0.0	32646
Cellulophagaphagephi3:1	CellulophagaphagephiSM	99.943	35114	11	5	1	35114	7725	42829	0.0	64724
Cellulophagaphagephi40:1	Cellulophagaphagephi38:1	99.978	35581	3	5	1	35576	19583	55163	0.0	65656
Cellulophagaphagephi46:3	Cellulophagaphagephi13:2	98.375	8676	139	2	6762	15435	37850	46525	0.0	15239
Cellulophagaphagephi47:1	Cellulophagaphagephi38:2	99.987	30848	1	3	1	30848	19603	50447	0.0	56940
Cellulophagaphagephi48:1	Cellulophagaphagephi12a:1	99.569	464	2	0	1	464	3383	3846	0.0	846
Cellulophagaphagephi4:1	Cellulophagaphagephi17:2	100.000	894	0	0	1	894	144280	145173	0.0	1652
Chlamydiaphage4	Chlamydiaphage2	92.634	1439	88	12	1	1430	2534	3963	0.0	2054
ChlamydiapneumoniaephageCPAR39	GuineapigChlamydiaphage	99.321	442	3	0	1	442	2193	2634	0.0	800
CitrobacterphageMoogle	EscherichiaphageEC6	81.122	11156	1913	153	1	11066	35877	24825	0.0	8756
CitrobacterphageMoon	SalmonellaphageSTML-198	80.249	7792	1409	103	3084	10795	124661	132402	0.0	5744
Clostridiumphagephi3626	ClostridiumphagePhiS63	74.573	936	192	36	5707	6622	5568	6477	5.74e-100	368
ClostridiumphagephiCD111	ClostridiumphagephiCD146	96.443	4245	143	7	13677	17919	22802	27040	0.0	6996
ClostridiumphagephiCD505	ClostridiumphagephiMMP03	96.825	2079	64	2	1	2078	28399	30476	0.0	3472
ClostridiumphagephiCD506	ClostridiumphagephiCD481-1	91.304	483	39	3	2	482	30404	30885	0.0	656
ClostridiumphagephiCD6356	ClostridiumphagephiC2	89.189	259	26	2	915	1171	25050	25308	1.67e-86	322
ClostridiumphagephiCDHM19	ClostridiumphagephiCD119	99.484	11053	41	15	1	11045	1135	12179	0.0	20081
ClostridiumphagephiCP13O	ClostridiumphagephiCP34O	96.208	1134	42	1	847	1980	2571	3703	0.0	1855
ClostridiumphagephiCP39-O	ClostridiumphagephiCP26F	96.152	11643	428	20	4148	15781	13068	24699	0.0	19001
ClostridiumphagephiCP7R	ClostridiumphagephiCPV4	98.385	11954	188	5	1	11952	4825	16775	0.0	21001
ClostridiumphagephiCP9O	ClostridiumphagephiCP26F	100.000	92	0	0	1	92	38529	38620	1.53e-42	171
ClostridiumphagephiCT19406A	StaphylococcusphageStB12	92.683	41	3	0	3374	3414	17676	17716	1.30e-06	60.2
ClostridiumphagephiMMP01	ClostridiumphagephiMMP03	99.153	5547	40	6	11813	17353	29999	35544	0.0	9976
ClostridiumphagephiMMP04	ClostridiumphagephiCDHM13	90.045	11723	1097	60	1	11685	4046	15736	0.0	15119
ClostridiumphagevBCpeS-CP51	ClostridiumphagephiSM101	84.596	1201	169	13	5691	6883	1230	38	0.0	1179
CronobacterphageCR9	CronobacterphageCR3	84.378	5089	661	102	2542	7568	80584	85600	0.0	4870
CronobacterphageDev2	EnterobacteriaphageEcoDS1	81.279	1079	195	6	4	1079	28271	29345	0.0	867
CronobacterphageESP2949-1	CitrobacterphageStevie	74.375	1440	307	54	10024	11434	36147	34741	6.90e-157	558
DickeyaphageLimestone	ShigellaphageAg3	91.607	2228	182	5	2121	4345	144322	146547	0.0	3073
DickeyaphageRC-2014	SalmonellaphageSKML-39	89.917	1319	132	1	3578	4896	143883	142566	0.0	1698
EndosymbiontphageAPSE-1	BacteriophageAPSE-2	97.960	1814	36	1	47	1860	36037	37849	0.0	3144
EnterobacterialphagemEp213	EnterobacteriaphagemEp043c-1	100.000	391	0	0	1	391	24232	24622	0.0	723
EnterobacterialphagemEp390	EnterobacteriaphageHK446	94.182	5122	290	8	1	5118	1375	6492	0.0	7801
Enterobacteriaphage933W	Stx2convertingphageI	98.927	17062	161	17	1	17048	44712	61765	0.0	30474
EnterobacteriaphageAR1	EscherichiaphagewV7	99.830	15317	26	0	1	15317	93351	108667	0.0	28142
EnterobacteriaphageBp7	EnterobacteriaphagevBEcoMVR5	91.505	8028	674	7	16196	24219	122130	114107	0.0	11040
EnterobacteriaphageCUS-3	Salmonellaphageepsilon34	97.802	2320	51	0	7356	9675	14497	12178	0.0	4002
EnterobacteriaphageChi	SalmonellaphageChi	100.000	13518	0	0	1	13518	9613	23130	0.0	24964
EnterobacteriaphageDT57C	EnterobacteriaphageDT571/2	100.000	8363	0	0	1	8363	90461	98823	0.0	15444
EnterobacteriaphageFL68Tallahassee/FL/2012	EnterobacteriaphageID2Moscow/ID/2001	97.076	171	5	0	1	171	4708	4878	8.64e-78	289
EnterobacteriaphageFL76Tallahassee/FL/2012	EnterobacteriaphageID2Moscow/ID/2001	99.315	1460	10	0	1	1460	1091	2550	0.0	2641
EnterobacteriaphageG4	EnterobacteriaphageNC13	97.137	2515	72	0	1	2515	1409	3923	0.0	4246
EnterobacteriaphageHK022	EnterobacteriaphageHK97	97.632	5195	105	17	9788	14975	33290	38473	0.0	8896
EnterobacteriaphageHK225	EnterobacteriaphagemEp237	93.955	397	24	0	3621	4017	41396	41792	3.37e-170	601
EnterobacteriaphageHK542	EnterobacteriaphageHK97	97.434	3975	92	10	16279	20252	33290	37255	0.0	6767
EnterobacteriaphageHK544	EnterobacterialphagemEp234	95.153	5075	234	7	23	5091	14505	19573	0.0	7998
EnterobacteriaphageHK630	EnterobacteriaphageDE3	99.930	2846	2	0	1964	4809	14876	17721	0.0	5245
EnterobacteriaphageID1	EnterobacteriaphageNC41	95.578	3302	146	0	1	3302	477	3778	0.0	5289
EnterobacteriaphageID11	EnterobacteriaphageNC13	99.510	204	1	0	1	204	5181	5384	1.04e-102	372
EnterobacteriaphageID12	EnterobacteriaphageWA3	98.473	655	10	0	1	655	1436	2090	0.0	1155
EnterobacteriaphageID18	EnterobacteriaphageWA14	98.930	374	4	0	1	374	4599	4972	0.0	669
EnterobacteriaphageID204Moscow/ID	EnterobacteriaphageID2Moscow/ID/2001	96.092	563	19	3	434	994	4424	4985	0.0	915
EnterobacteriaphageID22	EnterobacteriaphagephiX174	97.748	222	5	0	1	222	2643	2864	5.19e-106	383
EnterobacteriaphageID32	EnterobacteriaphageWA13	97.455	786	20	0	1	786	3421	4206	0.0	1341
EnterobacteriaphageID41	EnterobacteriaphageWA3	97.561	41	1	0	2	42	5056	5096	4.87e-13	71.3
EnterobacteriaphageID45	EnterobacteriaphageNC56	98.411	1070	17	0	1	1070	3816	4885	0.0	1882
EnterobacteriaphageID62	EnterobacteriaphageNC35	93.459	2339	136	5	1	2322	1080	3418	0.0	3456
EnterobacteriaphageID8	EnterobacteriaphageWA6	97.331	2698	72	0	5	2702	2708	5405	0.0	4584
EnterobacteriaphageIME10	SalmonellaphageSPN9CC	73.851	1480	358	26	2251	3715	35464	36929	1.16e-158	562
EnterobacteriaphageJL1	EnterobacteriaphageSSL2009a	96.271	3272	121	1	222	3493	30316	27046	0.0	5365
EnterobacteriaphageJS98	EnterobacteriaphagevBEcoMVR5	84.535	2981	436	20	1	2968	104626	107594	0.0	2928
EnterobacteriaphageJenK1	Enterobacteriaphage9g	96.005	7409	293	3	7931	15337	1	7408	0.0	12039
EnterobacteriaphageJenP2	EnterobacteriaphageJenP1	94.329	14707	752	48	9802	24458	30557	45231	0.0	22463
EnterobacteriaphageK1E	EnterobacteriaphagevBEcoPACG-C91	96.471	2465	87	0	2830	5294	6892	9356	0.0	4071
EnterobacteriaphageK1F	EnterobacteriaphageEcoDS1	94.396	6763	353	12	7813	14565	16004	22750	0.0	10366
EnterobacteriaphageKU1	EnterobacteriaphageBZ13	93.086	1186	80	2	1	1185	1934	3118	0.0	1735
EnterobacteriaphageM13	Enterobacteriaphagef1	100.000	217	0	0	1	217	3250	3466	1.40e-111	401
EnterobacteriaphageMED1	EnterobacteriaphageID34	96.902	581	18	0	1	581	3711	4291	0.0	974
EnterobacteriaphageMin27	Stx2convertingphagevBEcoP24B	99.854	9583	13	1	1	9582	6087	15669	0.0	17618
EnterobacteriaphageNC11	EnterobacteriaphageNC41	97.169	1519	43	0	1	1519	3472	4990	0.0	2567
EnterobacteriaphageNC16	EnterobacteriaphageNC41	99.206	1385	11	0	1	1385	1183	2567	0.0	2497
EnterobacteriaphageNC19	EnterobacteriaphageNC13	96.701	394	13	0	6	399	2462	2855	0.0	656
EnterobacteriaphageNC2	EnterobacteriaphageNC13	98.019	1868	37	0	1	1868	3107	4974	0.0	3245
EnterobacteriaphageNC28	EnterobacteriaphageWA13	91.909	4017	310	13	1	4008	1235	5245	0.0	5603
EnterobacteriaphageNC37	EnterobacteriaphageNC41	99.143	3385	29	0	1	3385	115	3499	0.0	6091
EnterobacteriaphageNC5	EnterobacteriaphageNC41	99.445	1803	10	0	1	1803	2020	3822	0.0	3275
EnterobacteriaphageNC51	EnterobacteriaphagephiX174	98.114	3075	56	2	1	3074	1665	4738	0.0	5356
EnterobacteriaphageNC7	EnterobacteriaphageNC1	100.000	126	0	0	1	126	4597	4722	2.88e-61	233
EnterobacteriaphageP2	EnterobacteriaphagefiAA91-ss	96.950	4853	145	3	1110	5961	1	4851	0.0	8139
EnterobacteriaphagePR5	EnterobacteriaphagePRD1	98.629	6201	85	0	1	6201	2905	9105	0.0	10981
EnterobacteriaphagePhi1	EnterobacteriaphageJSE	98.177	16240	290	6	93093	109330	104947	121182	0.0	28345
EnterobacteriaphagePsP3	Enterobacteriaphage186	87.827	5126	583	35	1	5113	14372	19469	0.0	5971
EnterobacteriaphageRB10	EnterobacteriaphageRB6	100.000	4415	0	0	1	4415	159458	163872	0.0	8154
EnterobacteriaphageRB3	EnterobacteriaphageRB14	97.782	28898	619	15	25908	54798	67749	96631	0.0	49794
EnterobacteriaphageRB33	EnterobacteriaphageRB32	99.993	14670	0	1	1	14669	91292	105961	0.0	27084
EnterobacteriaphageRB43	EnterobacteriaphageRB16	85.655	1436	184	16	1	1418	58309	59740	0.0	1491
EnterobacteriaphageRB5	EnterobacteriaphageRB6	100.000	2823	0	0	1	2823	96430	99252	0.0	5214
EnterobacteriaphageRB51	EscherichiaphagewV7	98.204	19093	330	10	1	19090	83376	102458	0.0	33346
EnterobacteriaphageRB59	EnterobacteriaphageRB55	99.997	30002	0	1	1	30002	98151	128151	0.0	55396
EnterobacteriaphageRB68	Escherichiaphagee11/2	95.778	45262	1841	39	72781	118017	75873	121089	0.0	72932
EnterobacteriaphageRB7	EnterobacteriaphageRB6	100.000	16186	0	0	1	16186	141747	157932	0.0	29890
EnterobacteriaphageRB9	EnterobacteriaphageRB6	100.000	1512	0	0	1	1512	159923	161434	0.0	2793
EnterobacteriaphageS13	EnterobacteriaphagephiX174	99.209	759	6	0	303	1061	1	759	0.0	1369
EnterobacteriaphageSP6	EnterobacteriaphagevBEcoPACG-C91	75.921	1059	215	35	14044	15084	39346	40382	2.33e-141	507
EnterobacteriaphageST104	SalmonellaphageSPN9CC	99.615	1559	4	2	2532	4089	9958	11515	0.0	2844
EnterobacteriaphageSf101	EnterobacteriaphagemEp043c-1	99.095	4641	42	0	5415	10055	33058	37698	0.0	8338
EnterobacteriaphageSfI	EnterobacteriaphageHK140	96.626	3290	109	2	1406	4694	32178	35466	0.0	5459
EnterobacteriaphageT4	EnterobacteriaphageRB55	99.989	18869	2	0	1	18869	144414	163282	0.0	34834
EnterobacteriaphageT7M	EnterobacteriaphageT3	100.000	1737	0	0	1	1737	34316	36052	0.0	3208
EnterobacteriaphageUABPhi78	EnterobacteriaphagevBEcoPACG-C91	82.192	2555	423	31	9130	11668	10426	12964	0.0	2169
EnterobacteriaphageUABPhi87	EscherichiaphageJH2	95.883	12290	504	2	28401	40689	19504	31792	0.0	19891
EnterobacteriaphageWA10	EnterobacteriaphagephiX174	96.774	2046	66	0	1	2046	340	2385	0.0	3413
EnterobacteriaphageWA2	EnterobacteriaphageWA3	99.914	1157	1	0	1	1157	3027	4183	0.0	2132
EnterobacteriaphageWA4	EnterobacteriaphageWA11	96.203	395	15	0	1	395	3462	3856	0.0	647
EnterobacteriaphageWA5	EnterobacteriaphageNC13	97.912	910	19	0	1	910	4308	5217	0.0	1576
EnterobacteriaphageYYZ-2008	EnterobacteriaphageBP-4795	96.214	8241	301	9	21664	29899	23719	31953	0.0	13479
Enterobacteriaphagealpha3	EnterobacteriaphageSt-1	90.157	2235	204	15	1	2227	2320	4546	0.0	2894
Enterobacteriaphagelambda	EnterobacteriaphageDE3	99.987	14907	1	1	1	14906	26405	41311	0.0	27516
EnterobacteriaphagemEpX1	EscherichiaphageHK75	94.157	2088	111	9	4373	6456	30498	32578	0.0	3169
EnterobacteriaphagemEpX2	EnterobacteriaphageHK140	98.831	7698	90	0	1	7698	5324	13021	0.0	13718
Enterobacteriaphagephi80	EnterobacteriaphagemEp237	98.983	3540	36	0	9933	13472	21638	25177	0.0	6338
EnterobacteriaphagephiP27	ShigellaphageSfII	79.864	4420	799	77	15423	19793	638	5015	0.0	3147
EnterobacteriaphagevBEcoM-VR7	EnterobacteriaphagevBEcoMVR25	97.591	29309	677	20	1	29300	118181	147469	0.0	50185
EnterobacteriaphagevBEcoMVR26	EnterobacteriaphagevBEcoMVR25	96.541	15263	514	7	8116	23373	115784	131037	0.0	25248
EnterobacterphageE-3	EnterobacterphageE-2	95.329	9141	422	4	1	9139	24742	33879	0.0	14510
EnterobacterphageEnc34	SalmonellaphageSPN19	72.757	4324	1069	98	3	4270	37631	33361	0.0	1358
EnterococcusphageEFAP-1	EnterococcusphageIME-EF4	91.805	3905	288	29	94	3984	34096	37982	0.0	5409
EnterococcusphageEFDG1	EnterococcusphageECP3	82.349	5739	928	61	57107	62789	53912	48203	0.0	4907
EnterococcusphageEFLK1	EnterococcusphageECP3	97.756	27673	604	16	79251	106917	49315	76976	0.0	47646
EnterococcusphageEFRM31	EnterococcusphageIME-EF4	99.518	2903	14	0	1	2903	37261	34359	0.0	5284
EnterococcusphageEfaCPT1	EnterococcusphageIME-EF4	94.510	2805	141	12	18848	21646	12082	9285	0.0	4314
EnterococcusphageIMEEF3	EnterococcusphageIME-EF4	92.254	7359	487	68	3558	10886	35373	28068	0.0	10355
EnterococcusphageSAP6	EnterococcusphageIMEEF1	92.505	3776	240	33	967	4728	39731	43477	0.0	5365
EnterococcusphagephiEF24C-P2	EnterococcusphagephiEF24C	100.000	13725	0	0	1	13725	47810	61534	0.0	25346
EnterococcusphagephiFL1A	EnterococcusphagephiFL1B	99.866	7450	8	2	1	7449	6359	13807	0.0	13701
EnterococcusphagephiFL1C	EnterococcusphagephiFL1B	100.000	939	0	0	1	939	33685	34623	0.0	1735
EnterococcusphagephiFL2B	EnterococcusphagephiFL2A	100.000	3709	0	0	1	3709	15774	19482	0.0	6850
ErwiniaamylovoraphageEra103	ErwiniaphagephiEa1H	99.317	16688	95	2	8131	24818	14070	30738	0.0	30167
ErwiniaphageENT90	SalmonellaphageRE-2010	74.842	1264	284	26	2162	3405	14074	12825	1.38e-152	542
ErwiniaphagephiEa104	ErwiniaphagevBEamM-M7	89.139	40493	4151	213	4592	44958	1	40372	0.0	50183
ErwiniaphagephiEa21-4	ErwiniaphagevBEamM-M7	88.020	41377	4660	250	1	41233	513	41736	0.0	48673
ErwiniaphagephiEa2809	SerratiaphagephiMAM1	82.270	1410	239	11	78490	79894	61380	59977	0.0	1208
ErwiniaphagephiEt88	SalmonellaphageSPC32H	72.851	442	104	12	16119	16552	32481	32914	3.88e-30	137
ErwiniaphagevBEamM-Y2	EnterobacteriaphagephiEcoM-GJ1	75.944	1987	438	37	219	2189	19745	21707	0.0	985
EscherichiaStx1-convertingrecombinantphageHUN/2013	Stx2convertingphageII	99.753	19440	46	2	1	19440	32908	52345	0.0	35632
EscherichiacoliO157typingphage3	EscherichiacoliO157typingphage6	100.000	6112	0	0	1	6112	14812	8701	0.0	11287
Escherichiaphage121Q	EscherichiaphagePBECO4	97.745	31214	647	44	46722	77913	208662	177484	0.0	53688
Escherichiaphage172-1	EnterobacteriaphagePhieco32	93.439	9054	588	6	15223	24273	21478	30528	0.0	13424
Escherichiaphage1720a-02	EnterobacteriaphagemEp460	97.770	538	12	0	1	538	36841	36304	0.0	928
Escherichiaphage2JES-2013	EscherichiacoliO157typingphage5	97.639	16437	380	7	29367	45801	96366	112796	0.0	28197
EscherichiaphageADB-2	ShigellaphagepSf-2	94.791	10137	521	7	4045	14176	37746	27612	0.0	15788
EscherichiaphageAkfv33	SalmonellaphageSpc35	86.045	1899	210	36	1	1861	105016	106897	0.0	1988
EscherichiaphageAv-05	EscherichiacoliO157typingphage6	95.711	3194	133	4	25981	29172	85092	81901	0.0	5136
EscherichiaphageD108	EnterobacteriaphageMu	97.912	3449	71	1	2143	5590	8193	11641	0.0	5969
EscherichiaphageEB49	EscherichiaphagebVEcoSAHS24	83.505	3001	479	16	4300	7293	33076	30085	0.0	2785
EscherichiaphageEC1-UPM	EscherichiaphageECBP1	93.606	1392	89	0	1	1392	39306	40697	0.0	2078
EscherichiaphageECML-117	PseudomonasphagePaMx13	86.567	67	8	1	26298	26364	98	163	2.17e-10	73.1
EscherichiaphageECML-4	SalmonellaphageViI	94.116	12747	747	3	6435	19180	119954	107210	0.0	19381
EscherichiaphageHY01	Escherichiaphagee11/2	94.005	11459	624	37	20516	31939	145113	156543	0.0	17296
EscherichiaphageK1-dep(4)	EscherichiaphageK1-dep(1)	96.873	1759	53	2	1	1758	39594	41351	0.0	2942
EscherichiaphageK1-ind(1)	EscherichiaphageK1-ind(3)	96.651	16513	547	6	1	16510	8325	24834	0.0	27425
EscherichiaphageK1-ind(2)	EscherichiaphageK1-ind(3)	100.000	6860	0	0	1	6860	25833	32692	0.0	12669
EscherichiaphageLw1	EnterobacteriaphageRB16	91.101	7877	661	32	9014	16871	56631	64486	0.0	10626
EscherichiaphageP483	EscherichiaphageP694	97.199	607	13	3	1	607	3885	3283	0.0	1024
EscherichiaphagePE3-1	EnterobacteriaphageEcoDS1	94.231	1872	99	6	1	1868	31877	33743	0.0	2850
EscherichiaphagePollock	SalmonellaphageFSLSP-076	83.586	17918	2723	168	20171	37976	21129	38940	0.0	16595
EscherichiaphageT5	EnterobacteriaphageDT571/2	93.950	7223	419	13	2996	10210	13560	20772	0.0	10901
EscherichiaphageTL-2011b	SalmonellaphageSPC32H	75.226	4085	940	62	872	4915	8271	12324	0.0	1871
EscherichiaphageTL-2011c	EscherichiaStx1convertingphage	98.108	9989	170	15	1	9980	10787	20765	0.0	17381
EscherichiaphageTls	CitrobacterphageStevie	94.414	16541	895	26	1	16528	6603	23127	0.0	25399
EscherichiaphagebVEcoSAHP24	EscherichiaphagebVEcoSAHS24	100.000	1248	0	0	1	1248	12871	14118	0.0	2305
EscherichiaphagebVEcoSAHP42	EscherichiaphageJk06	98.155	1518	28	0	3	1520	25413	23896	0.0	2649
EscherichiaphagebVEcoSAKS96	EscherichiaphageJk06	91.870	1230	94	6	1037	2263	31928	30702	0.0	1712
Escherichiaphagee4/1c	EscherichiaphageJk06	92.748	8398	585	19	1	8389	8383	1	0.0	12113
